system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
9,4,1028.0,1433.0,2038.0,3348.0,65535.0,911.0,1287.0,1775.0,2823.0,65535.0,"{""type"":""Point"",""coordinates"":[33.750930101817396,46.347319598357664]}"
19,3,631.0,821.0,1089.0,2193.0,65535.0,493.0,634.0,803.0,1647.0,65535.0,"{""type"":""Point"",""coordinates"":[28.990822756307473,46.27818257810562]}"
20,0,351.0,424.0,470.0,1035.0,65535.0,615.0,739.0,969.0,1484.0,65535.0,"{""type"":""Point"",""coordinates"":[33.09322324479578,47.07386332073057]}"
26,3,524.0,719.0,853.0,2200.0,65535.0,748.0,1039.0,1289.0,2983.0,65535.0,"{""type"":""Point"",""coordinates"":[38.596773164319934,49.45541550179952]}"
28,2,754.0,973.0,1307.0,2193.0,65535.0,720.0,898.0,1186.0,2031.0,65535.0,"{""type"":""Point"",""coordinates"":[33.72342020990477,48.101586687453384]}"
29,0,571.0,816.0,640.0,4370.0,65535.0,459.0,766.0,785.0,3150.0,65535.0,"{""type"":""Point"",""coordinates"":[35.87123712762191,49.381066289089695]}"
35,1,725.0,950.0,1245.0,2185.0,65535.0,422.0,518.0,699.0,1323.0,65535.0,"{""type"":""Point"",""coordinates"":[29.720360671515333,46.038066829412124]}"
42,2,707.0,909.0,1267.0,2022.0,65535.0,779.0,928.0,1349.0,1438.0,65535.0,"{""type"":""Point"",""coordinates"":[37.22092307910854,47.03683500179649]}"
49,4,715.0,951.0,1372.0,2288.0,65535.0,781.0,1037.0,1491.0,2342.0,65535.0,"{""type"":""Point"",""coordinates"":[29.873856836794793,45.8222360591141]}"
53,2,1012.0,1387.0,1942.0,2885.0,65535.0,927.0,1257.0,1734.0,2497.0,65535.0,"{""type"":""Point"",""coordinates"":[35.77034581156955,46.968241611145615]}"
55,3,821.0,1049.0,1460.0,2233.0,65535.0,665.0,982.0,1056.0,3214.0,65535.0,"{""type"":""Point"",""coordinates"":[35.83310541537156,49.3017798853424]}"
70,0,471.0,682.0,662.0,2329.0,65535.0,386.0,614.0,642.0,2315.0,65535.0,"{""type"":""Point"",""coordinates"":[36.13164050600047,50.23732046002262]}"
71,4,228.0,430.0,430.0,1813.0,65535.0,312.0,381.0,441.0,1893.0,65535.0,"{""type"":""Point"",""coordinates"":[37.2347265663063,47.79051861955508]}"
81,2,1095.0,1668.0,2441.0,4280.0,65535.0,604.0,842.0,1018.0,2169.0,65535.0,"{""type"":""Point"",""coordinates"":[26.64461008910351,49.038635683166376]}"
85,2,835.0,1117.0,1519.0,2750.0,65535.0,650.0,907.0,1095.0,2903.0,65535.0,"{""type"":""Point"",""coordinates"":[36.364324767306336,49.162732200922804]}"
101,2,876.0,1162.0,1542.0,2417.0,65535.0,567.0,755.0,854.0,2327.0,65535.0,"{""type"":""Point"",""coordinates"":[33.4479735137055,48.38878348686175]}"
103,2,944.0,1219.0,1631.0,2465.0,65535.0,908.0,1241.0,1723.0,2721.0,65535.0,"{""type"":""Point"",""coordinates"":[35.0733832404426,47.99281951085625]}"
105,1,862.0,1134.0,1586.0,2475.0,65535.0,923.0,1205.0,1601.0,2585.0,65535.0,"{""type"":""Point"",""coordinates"":[34.87452542650774,47.39018794500743]}"
