system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,cat,com_set1,com_set2,fid,finHarvDat,id,lab_set1,lab_set2,lat,lon,rd_id,set,strata,val_set1,x,y,.geo
0000000000000000001c_0,0,569.0,841.0,850.0,2821.0,65535.0,560.0,837.0,862.0,2904.0,65535.0,242,,,242.0,,241,Shabri,Saeed,45.0676623162756,34.7063834071043,90,occ_ukraine,20,0.0,369036.0,18228.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.70645591772192,45.06762440475648]}"
0000000000000000001d_0,0,542.0,862.0,1353.0,3228.0,65535.0,522.0,811.0,1300.0,2746.0,65535.0,109,,,109.0,,108,Shabri,Saeed,47.9446886605652,39.0300522192057,65,occ_ukraine,20,0.0,671448.0,365772.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.03013721171759,47.94456893367766]}"
00000000000000000044_0,0,388.0,617.0,911.0,2024.0,65535.0,467.0,529.0,647.0,1151.0,65535.0,18,Burnt 07/07-09/07/22,,18.0,,17,Josef,Saeed,48.5637117557042,38.1963451538137,181,occ_ukraine,20,0.0,602736.0,427848.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.19641079652626,48.56359799596442]}"
0000000000000000006d_0,0,524.0,752.0,1092.0,2230.0,65535.0,516.0,729.0,1135.0,2022.0,65535.0,300,Burnt 18/07/2022,,300.0,,299,Fangjie,Saeed,48.6886693985219,38.1990888766772,224,occ_ukraine,20,0.0,601536.0,441720.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.19919557390703,48.688553651985444]}"
00000000000000000077_0,0,509.0,728.0,1030.0,1886.0,65535.0,464.0,581.0,776.0,1329.0,65535.0,540,Burnt 09/07/2022,,540.0,,539,Fangjie,Saeed,46.6623553655175,32.1850772367081,193,occ_ukraine,21,0.0,166632.0,187692.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.18515440978366,46.662313697125455]}"
00000000000000000094_0,0,415.0,571.0,1001.0,1878.0,65535.0,415.0,566.0,818.0,1577.0,65535.0,385,,,385.0,,384,Blake,Saeed,47.4399917763222,35.9269039373913,293,occ_ukraine,20,0.0,445320.0,288420.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.92699689425511,47.43989540705931]}"
00000000000000000095_0,0,462.0,628.0,918.0,1921.0,65535.0,498.0,717.0,950.0,1958.0,65535.0,114,,,114.0,,113,Blake,Saeed,47.4477174887901,36.460570607921,355,occ_ukraine,20,0.0,485268.0,292332.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.46068600455052,47.44762091850274]}"
000000000000000000bd_0,0,431.0,603.0,957.0,2206.0,65535.0,470.0,611.0,895.0,1988.0,65535.0,258,Not Harvested Winter,,258.0,,257,Yuval,Saeed,47.1874019577629,34.9634613375414,446,occ_ukraine,20,0.0,374748.0,255456.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.96355375203692,47.187289149164904]}"
000000000000000000fa_0,1,678.0,920.0,1256.0,2028.0,65535.0,554.0,740.0,1042.0,1653.0,65535.0,486,,,486.0,,485,Shabri,No double yet,46.8417567211507,32.9325149329052,18,occ_ukraine,21,0.0,222888.0,209484.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.932552726171096,46.84170725936412]}"
000000000000000000fe_0,1,1049.0,1547.0,2377.0,3783.0,65535.0,741.0,935.0,1274.0,1888.0,65535.0,528,,,528.0,,527,Shabri,No double yet,46.863811409338,35.9484552730937,25,occ_ukraine,21,0.0,451632.0,224448.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.948556461073984,46.86371598382505]}"
00000000000000000107_0,0,542.0,825.0,1143.0,2172.0,65535.0,657.0,927.0,1267.0,1884.0,65535.0,430,,,430.0,,429,Shabri,No double yet,45.7563620296462,33.8982327312638,38,occ_ukraine,21,0.0,302040.0,91620.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.898331488127994,45.756272901562504]}"
0000000000000000010a_0,0,393.0,576.0,690.0,3148.0,65535.0,390.0,556.0,624.0,2774.0,65535.0,280,,,280.0,,279,Shabri,No double yet,49.1052529787943,39.2473230171808,43,occ_ukraine,20,0.0,672864.0,496068.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.2474396789461,49.10519228076008]}"
0000000000000000010f_0,0,379.0,671.0,563.0,3769.0,65535.0,387.0,706.0,582.0,3926.0,65535.0,367,"Burnt 17/07/22(Surrounding Region), Shelling, Interesting",,367.0,,366,Shabri,No double yet,47.7974744930298,37.4940748280779,49,occ_ukraine,20,0.0,559104.0,337824.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.494197738930026,47.79742489013888]}"
00000000000000000110_0,0,454.0,650.0,987.0,1905.0,65535.0,612.0,817.0,1132.0,2083.0,65535.0,321,Interesting,,321.0,,320,Shabri,No double yet,49.7060442934454,37.7848185227709,50,occ_ukraine,20,0.0,560412.0,551496.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.78489256487111,49.70598554277922]}"
0000000000000000011a_0,2,630.0,905.0,1315.0,2398.0,65535.0,452.0,544.0,751.0,1145.0,65535.0,493,Burnt 13/08/22,,493.0,,492,Shabri,No double yet,46.7078036015591,32.3362023934459,70,occ_ukraine,21,0.0,178008.0,193080.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.33625104057256,46.70767861897349]}"
00000000000000000120_0,1,509.0,802.0,1151.0,2452.0,65535.0,595.0,848.0,1256.0,2288.0,65535.0,585,Shelling,,585.0,,584,Shabri,No double yet,46.9109407963358,32.4412263883616,85,occ_ukraine,21,0.0,185328.0,215964.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.44126409728613,46.91087753624132]}"
00000000000000000128_0,0,406.0,655.0,750.0,2637.0,65535.0,417.0,648.0,806.0,2512.0,65535.0,345,Spring/summer,,345.0,,344,Josef,No double yet,49.2952967404638,39.6407337699637,96,occ_ukraine,20,0.0,698856.0,520404.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.64081194186204,49.29518596335136]}"
00000000000000000130_0,0,426.0,576.0,701.0,1918.0,65535.0,406.0,556.0,746.0,1871.0,65535.0,297,,,297.0,,296,Josef,No double yet,46.1907184142761,33.2144559563949,110,occ_ukraine,20,0.0,247176.0,137724.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.21453389385622,46.19060834143429]}"
00000000000000000134_0,0,367.0,597.0,748.0,3065.0,65535.0,414.0,684.0,663.0,3372.0,65535.0,48,Maybe spring,,48.0,,47,Josef,No double yet,48.2954810241258,37.859553620304,115,occ_ukraine,20,0.0,580932.0,395652.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.85963239650985,48.29536105212633]}"
00000000000000000137_0,0,496.0,757.0,1025.0,2560.0,65535.0,548.0,766.0,940.0,2489.0,65535.0,35,Field burnt but not pixel 18/08/22,,35.0,,34,Josef,No double yet,49.0588261086941,37.7290240520092,125,occ_ukraine,20,0.0,563244.0,479388.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.72910718572729,49.0587493805711]}"
00000000000000000138_0,0,440.0,657.0,879.0,2392.0,65535.0,464.0,693.0,902.0,2281.0,65535.0,271,,,271.0,,270,Josef,No double yet,47.5225793648108,36.353997703711,126,occ_ukraine,20,0.0,476628.0,300024.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.35405598032553,47.52254041319831]}"
0000000000000000015a_0,0,415.0,636.0,779.0,3013.0,65535.0,448.0,674.0,821.0,2951.0,65535.0,69,Not harvested spring,,69.0,,68,Fangjie,No double yet,47.3620905920587,37.7587554862869,189,occ_ukraine,20,0.0,583416.0,291348.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.758841421631644,47.36201147192615]}"
0000000000000000015f_0,0,427.0,715.0,784.0,2873.0,65535.0,417.0,698.0,694.0,2779.0,65535.0,15,Not harvested spring,,15.0,,14,Fangjie,No double yet,47.0896456074077,37.0718552432505,199,occ_ukraine,20,0.0,534540.0,256368.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.07189972386544,47.089552446252696]}"
00000000000000000169_0,0,483.0,703.0,1137.0,2295.0,65535.0,480.0,587.0,797.0,1443.0,65535.0,243,Burnt 16/07/2022,,243.0,,242,Fangjie,No double yet,47.6712880763402,36.5549120824476,214,occ_ukraine,20,0.0,490332.0,317748.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.55500910938307,47.67121159272009]}"
00000000000000000178_0,0,318.0,548.0,453.0,2993.0,65535.0,327.0,504.0,423.0,3232.0,65535.0,10,Not harvested spring,,10.0,,9,Fangjie,No double yet,47.0549345578782,32.6400559368493,242,occ_ukraine,20,0.0,199896.0,232488.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.64015110119019,47.05487747628568]}"
0000000000000000017b_0,0,396.0,668.0,505.0,3856.0,65535.0,603.0,939.0,984.0,3029.0,65535.0,87,Not harvested spring,,87.0,,86,Fangjie,No double yet,45.1198132560688,34.8395025099241,247,occ_ukraine,20,0.0,379116.0,24648.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.83958624282843,45.119726691235414]}"
00000000000000000183_0,0,516.0,787.0,925.0,2621.0,65535.0,605.0,806.0,886.0,2813.0,65535.0,34,Not harvested spring,,34.0,,33,Fangjie,No double yet,49.0942926266262,37.6371738543079,262,occ_ukraine,20,0.0,556200.0,482688.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.637209532161854,49.09423283429382]}"
0000000000000000018d_0,0,358.0,575.0,512.0,2903.0,65535.0,409.0,655.0,620.0,3036.0,65535.0,304,Not harvested spring,,304.0,,303,Fangjie,No double yet,47.705915287188,37.7546181209263,276,occ_ukraine,20,0.0,579456.0,329484.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.75470917132469,47.70579673115869]}"
00000000000000000193_0,0,409.0,639.0,862.0,2294.0,65535.0,446.0,663.0,905.0,2246.0,65535.0,336,Burned 090722,,336.0,,335,Blake,No double yet,48.4726414504422,38.2965406824645,287,occ_ukraine,20,0.0,611112.0,418500.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.296662782234,48.472598657683115]}"
00000000000000000195_0,0,436.0,684.0,864.0,2218.0,65535.0,592.0,856.0,1070.0,2552.0,65535.0,201,,,201.0,,200,Blake,No double yet,47.0750375829251,36.913580792314,290,occ_ukraine,20,0.0,522744.0,253716.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.91361657080358,47.074999738649964]}"
00000000000000000197_0,0,511.0,728.0,1061.0,2184.0,65535.0,548.0,757.0,989.0,2167.0,65535.0,147,,,147.0,,146,Blake,No double yet,47.1246816474509,33.6746660503268,298,occ_ukraine,20,0.0,277836.0,243300.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.674740813910645,47.124586742333356]}"
00000000000000000198_0,0,475.0,728.0,1115.0,2203.0,65535.0,499.0,706.0,1062.0,2039.0,65535.0,471,Burned 190722 and 300722,,471.0,,470,Blake,No double yet,47.6700959186299,36.6459263049155,299,occ_ukraine,21,0.0,497136.0,318168.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.64600844766438,47.67004378285073]}"
0000000000000000019d_0,0,532.0,787.0,1050.0,2325.0,65535.0,591.0,940.0,1098.0,2831.0,65535.0,382,,,382.0,,381,Blake,No double yet,45.2344236543825,34.048517440471,310,occ_ukraine,20,0.0,316572.0,34032.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.048619635161195,45.23435172148906]}"
0000000000000000019f_0,0,328.0,549.0,590.0,2014.0,65535.0,382.0,685.0,751.0,2408.0,65535.0,120,,,120.0,,119,Blake,No double yet,48.6052396123688,38.378056735167,313,occ_ukraine,20,0.0,615576.0,433812.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.37813997850364,48.605189993619156]}"
000000000000000001a0_0,1,780.0,1074.0,1429.0,2729.0,65535.0,748.0,972.0,1241.0,2297.0,65535.0,410,,,410.0,,409,Blake,No double yet,47.0789598922061,34.7073891572436,316,occ_ukraine,21,0.0,356136.0,242232.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.70744406453445,47.07886249437168]}"
000000000000000001a4_0,0,452.0,665.0,768.0,2600.0,65535.0,485.0,696.0,746.0,2896.0,65535.0,123,,,123.0,,122,Blake,No double yet,46.7964714233262,35.3538766829751,321,occ_ukraine,20,0.0,407052.0,213816.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.35396157451527,46.7964321690445]}"
000000000000000001a7_0,2,558.0,825.0,1195.0,2986.0,65535.0,539.0,811.0,1116.0,2605.0,65535.0,386,,,386.0,,385,Blake,No double yet,47.4440328594208,35.8819003740497,326,occ_ukraine,20,0.0,441912.0,288624.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.881991298520724,47.44393782583785]}"
000000000000000001a8_0,0,492.0,656.0,984.0,1944.0,65535.0,444.0,623.0,878.0,1750.0,65535.0,502,"Burned 240722, unintentional and majority of field left unharvested",,502.0,,501,Blake,No double yet,47.1053108851025,33.048421568457,327,occ_ukraine,21,0.0,230592.0,239184.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.04852522935093,47.10527296372479]}"
000000000000000001b2_0,0,307.0,589.0,503.0,3469.0,65535.0,341.0,610.0,511.0,2699.0,65535.0,272,,,272.0,,271,Blake,No double yet,48.1858534815668,38.6460435963225,343,occ_ukraine,20,0.0,640152.0,389400.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.64610742775649,48.18576658746375]}"
000000000000000001ba_0,0,315.0,672.0,415.0,4286.0,65535.0,326.0,646.0,485.0,3809.0,65535.0,377,,,377.0,,376,Blake,No double yet,47.5252710584648,36.770555178008,352,occ_ukraine,20,0.0,507780.0,302844.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.770604777571755,47.525145527522255]}"
000000000000000001bf_0,0,476.0,697.0,1085.0,2158.0,65535.0,507.0,676.0,1024.0,1885.0,65535.0,266,,,266.0,,265,Blake,No double yet,47.4869396138647,35.9441604869106,365,occ_ukraine,20,0.0,446232.0,293736.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.944244547710205,47.48687729641876]}"
